optimum_lambda,optimum_n_hidden,test_accuracy,training_accuracy
0.2,50,71.014492753623188,74.074074074074076
0.5,20,69.565217391304344,73.148148148148152
0.4,20,71.014492753623188,70.987654320987659
0.5,20,63.768115942028977,76.23456790123457
0.0,20,76.811594202898547,72.53086419753086
0.7999999999999999,70,68.115942028985515,74.691358024691354
0.5,40,69.565217391304344,72.839506172839506
0.0,80,66.666666666666657,73.76543209876543
0.1,80,69.565217391304344,74.691358024691354
0.5,60,72.463768115942031,72.222222222222214
